City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Marzuq,YE,14.4,46.4667,69.84,36,3,6.29,clear sky
312,Saldanha,ZA,-33.0117,17.9442,59.05,80,0,3.85,clear sky
313,Pandan,PH,14.0453,124.1694,78.28,84,61,13.82,broken clouds
314,Rincon,US,32.296,-81.2354,77.86,25,0,11.5,clear sky
315,Geraldton,AU,-28.7667,114.6,72.01,88,75,16.11,broken clouds
316,Omsukchan,RU,62.5333,155.8,-8.9,100,54,2.75,broken clouds
317,Hamilton,US,39.1834,-84.5333,57.94,49,40,7.0,scattered clouds
318,Andenes,NO,69.3143,16.1194,28.38,59,1,24.16,clear sky
319,Qandala,SO,11.472,49.8728,85.14,41,36,9.4,scattered clouds
320,Catuday,PH,16.2923,119.8062,77.77,72,61,8.79,broken clouds
321,Buchanan,LR,5.8808,-10.0467,79.5,85,86,8.43,overcast clouds
322,Svetlogorsk,BY,52.6333,29.7333,28.9,85,100,6.71,overcast clouds
323,Ilo,PE,-17.6394,-71.3375,71.87,70,8,9.71,clear sky
324,Simbahan,PH,6.3032,120.5836,80.87,79,85,9.26,overcast clouds
325,Nanortalik,GL,60.1432,-45.2371,37.85,80,98,5.39,overcast clouds
326,Wiang Sa,TH,8.6359,99.3666,74.26,95,99,1.7,moderate rain
327,Bonavista,CA,48.6499,-53.1147,36.57,85,100,13.51,overcast clouds
328,Havoysund,NO,70.9963,24.6622,26.83,57,100,14.63,light snow
329,Maumere,ID,-8.6199,122.2111,77.9,73,48,3.0,scattered clouds
330,Paignton,GB,50.4357,-3.5679,44.62,72,70,4.0,broken clouds
331,Sistranda,NO,63.7256,8.834,31.96,83,100,8.46,light snow
332,Gamba,GA,-2.65,10.0,77.54,94,100,3.89,overcast clouds
333,Pochutla,MX,15.7432,-96.4661,90.82,34,5,9.13,clear sky
334,Eregli,TR,37.5133,34.0467,56.68,38,100,6.29,overcast clouds
335,Lowestoft,GB,52.4752,1.7516,44.42,68,83,10.18,broken clouds
336,Waterloo,CA,43.4668,-80.5164,38.46,82,100,17.27,overcast clouds
337,Kautokeino,NO,69.0125,23.0412,13.12,97,93,7.54,overcast clouds
